Class,Xstreams,Threads,Time(s),Time(nanos),Status
B,1,7,214.68666666666666666666,31140047048.99666666666666666666,SUCCESSFUL
B,1,8,216.21666666666666666666,27524043681.66333333333333333333,SUCCESSFUL
B,1,14,341.82666666666666666666,25250315711.68000000000000000000,SUCCESSFUL
B,1,28,679.99333333333333333333,26453442441.99666666666666666666,SUCCESSFUL
B,2,1,133.06333333333333333333,67176249983.00000000000000000000,SUCCESSFUL
B,2,2,146.23000000000000000000,37160423569.34333333333333333333,SUCCESSFUL
B,2,4,190.21000000000000000000,25633109245.33333333333333333333,SUCCESSFUL
B,2,7,285.44666666666666666666,22533516676.01000000000000000000,SUCCESSFUL
B,2,8,311.06333333333333333333,20525755900.34666666666666666666,SUCCESSFUL
B,2,14,497.96000000000000000000,19523652956.66666666666666666666,SUCCESSFUL
B,2,28,331.14666666666666666666,24156888653.35000000000000000000,SUCCESSFUL
B,4,1,138.69333333333333333333,35074706669.66333333333333333333,SUCCESSFUL
B,4,2,167.80000000000000000000,23083157269.34333333333333333333,SUCCESSFUL
B,4,4,273.56333333333333333333,19350485013.68333333333333333333,SUCCESSFUL
B,4,7,385.97666666666666666666,15451064737.00666666666666666666,SUCCESSFUL
B,4,8,299.17333333333333333333,15001560979.32666666666666666666,SUCCESSFUL
B,4,14,311.25333333333333333333,17850806510.02000000000000000000,SUCCESSFUL
B,4,28,342.21333333333333333333,23954957884.65666666666666666666,SUCCESSFUL
B,7,1,147.07333333333333333333,21396399025.34000000000000000000,SUCCESSFUL
B,7,2,210.51666666666666666666,19371010550.00333333333333333333,SUCCESSFUL
B,7,4,326.82333333333333333333,13743295639.98666666666666666666,SUCCESSFUL
B,7,7,303.74666666666666666666,14478478356.34000000000000000000,SUCCESSFUL
B,7,8,307.63666666666666666666,15256579083.00333333333333333333,SUCCESSFUL
B,7,14,321.18000000000000000000,18677519044.31666666666666666666,SUCCESSFUL
B,7,28,360.46000000000000000000,27466141407.01000000000000000000,SUCCESSFUL
B,8,1,155.39666666666666666666,19903435493.95666666666666666666,SUCCESSFUL
B,8,2,233.61333333333333333333,18380720798.99666666666666666666,SUCCESSFUL
B,8,4,294.53333333333333333333,13168018901.66333333333333333333,SUCCESSFUL
B,8,7,305.58666666666666666666,14786625307.32333333333333333333,SUCCESSFUL
B,8,8,306.06000000000000000000,15219895131.67333333333333333333,SUCCESSFUL
B,8,14,325.03000000000000000000,19006370413.31000000000000000000,SUCCESSFUL
B,8,28,365.49000000000000000000,29196030044.32666666666666666666,SUCCESSFUL
B,14,1,176.64333333333333333333,14907111913.00666666666666666666,SUCCESSFUL
B,14,2,313.75666666666666666666,12906149261.32000000000000000000,SUCCESSFUL
B,14,4,302.40000000000000000000,13377199397.34666666666666666666,SUCCESSFUL
B,14,7,314.43000000000000000000,15475017747.99666666666666666666,SUCCESSFUL
B,14,8,317.56000000000000000000,16279845337.98333333333333333333,SUCCESSFUL
B,14,14,339.19666666666666666666,22128098783.33666666666666666666,SUCCESSFUL
B,14,28,391.26666666666666666666,37547627575.99000000000000000000,SUCCESSFUL
B,28,1,311.63666666666666666666,15086908875.34000000000000000000,SUCCESSFUL
B,28,2,297.80000000000000000000,13050459068.01333333333333333333,SUCCESSFUL
B,28,4,313.90000000000000000000,14480881502.01666666666666666666,SUCCESSFUL
B,28,7,331.61000000000000000000,18319006007.97666666666666666666,SUCCESSFUL
B,28,8,336.72333333333333333333,19778488536.67666666666666666666,SUCCESSFUL
B,28,14,365.98666666666666666666,29939731369.66666666666666666666,SUCCESSFUL
B,28,28,441.32000000000000000000,56990729386.00666666666666666666,SUCCESSFUL
C,1,1,525.33000000000000000000,525362863674.00333333333333333333,SUCCESSFUL
C,1,2,553.52000000000000000000,277005874994.65666666666666666666,SUCCESSFUL
C,1,4,620.71000000000000000000,155579172692.67000000000000000000,SUCCESSFUL
C,1,7,715.69000000000000000000,102638573295.01000000000000000000,SUCCESSFUL
C,1,8,827.30333333333333333333,103849496485.99666666666666666666,SUCCESSFUL
C,1,14,1167.00000000000000000000,84025653739.67333333333333333333,SUCCESSFUL
